"State","District","week_17","week_18","week_19"
"Uttar Pradesh","Kannauj",1.17,0.91,0.52
"Uttar Pradesh","Kanpur Dehat",0.85,0.86,0.99
"Uttar Pradesh","Kanpur Nagar",1.14,0.68,0.49
"Uttar Pradesh","Kasganj",1.88,0.76,1.3
"Uttar Pradesh","Kaushambi",0.97,0.73,0.19
"Uttar Pradesh","Kushinagar",1.47,1.7,1.48
"Uttar Pradesh","Lakhimpur Kheri",1.2,0.85,0.69
"Uttar Pradesh","Lalitpur",0.97,1.26,0.75
"Uttar Pradesh","Lucknow",0.86,0.71,0.61
"Uttar Pradesh","Maharajganj",2.24,0.74,1
"Uttar Pradesh","Mahoba",1.12,1.15,0.84
"Uttar Pradesh","Mainpuri",1.34,0.71,0.93
"Uttar Pradesh","Mathura",1.12,0.94,0.66
"Uttar Pradesh","Mau",1.26,0.77,1.03
"Uttar Pradesh","Meerut",1.06,0.91,1.65
"Uttar Pradesh","Mirzapur",0.46,0.98,0.79
"Uttar Pradesh","Moradabad",1.21,1.2,0.78
"Uttar Pradesh","Muzaffarnagar",1.16,0.92,1.75
"Uttar Pradesh","Pilibhit",1.55,0.96,1.99
"Uttar Pradesh","Pratapgarh",1.56,1.1,0.41
"Uttar Pradesh","Prayagraj",0.76,0.67,0.65
"Uttar Pradesh","Rae Bareli",0.86,0.72,0.6
"Uttar Pradesh","Rampur",1.64,1.13,0.59
"Uttar Pradesh","Saharanpur",1.38,1.78,1.71
"Uttar Pradesh","Sambhal",0.76,1.58,0.93
"Uttar Pradesh","Sant Kabir Nagar",1.03,0.64,1.2
"Uttar Pradesh","Shahjahanpur",1.68,0.91,0.81
"Uttar Pradesh","Shamli",1.31,1.13,0.66
"Uttar Pradesh","Shrawasti",1.4,0.81,4.47
"Uttar Pradesh","Siddharthnagar",0.79,1.2,1.32
"Uttar Pradesh","Sitapur",0.92,0.79,1.6
"Uttar Pradesh","Sonbhadra",1.03,0.8,1.01
"Uttar Pradesh","Sultanpur",0.82,0.59,0.48
"Uttar Pradesh","Unnao",1.09,0.98,0.99
"Uttar Pradesh","Varanasi",0.9,0.7,0.73
"Uttarakhand","Almora",1.53,1.19,0.79
"Uttarakhand","Bageshwar",3.29,1.67,0.35
"Uttarakhand","Chamoli",1.98,1.5,1.46
"Uttarakhand","Champawat",1.66,1.62,0.67
"Uttarakhand","Dehradun",1.42,1.19,1.03
"Uttarakhand","Haridwar",1.42,0.73,1.14
"Uttarakhand","Nainital",1.47,1.03,0.59
"Uttarakhand","Pauri Garhwal",1.38,1.15,0.64
"Uttarakhand","Pithoragarh",1.91,2.05,1.01
"Uttarakhand","Rudraprayag",1.53,1.54,0.79
"Uttarakhand","Tehri Garhwal",0.94,1.98,1.8
"Uttarakhand","Udham Singh Nagar",1.17,1.49,1.27
"Uttarakhand","Uttarkashi",1.64,1.57,1.64
"West Bengal","Alipurduar",2.41,0.95,0.81
"West Bengal","Bankura",1.51,1.36,1.13
"West Bengal","Birbhum",1.29,0.97,1.19
"West Bengal","Cooch Behar",1.89,1.14,1.55
"West Bengal","Dakshin Dinajpur",1.99,1.22,1.42
"West Bengal","Darjeeling",1.46,1.34,0.93
"West Bengal","Hooghly",1.51,1.01,1.1
"West Bengal","Howrah",1.39,1.04,1.11
"West Bengal","Jalpaiguri",1.42,1.17,1.32
"West Bengal","Jhargram",3.21,1.28,1.2
"West Bengal","Kalimpong",3.09,1,5.55
"West Bengal","Kolkata",1.41,1.02,1.01
"West Bengal","Malda",1.22,0.9,1.03
"West Bengal","Murshidabad",1.22,0.91,1.31
"West Bengal","Nadia",1.61,1.16,1.3
"West Bengal","North 24 Parganas",1.49,1.08,1.01
"West Bengal","Paschim Bardhaman",1.38,1.07,1.05
"West Bengal","Paschim Medinipur",1.78,1.43,1.86
"West Bengal","Purba Bardhaman",1.56,0.96,1.13
"West Bengal","Purba Medinipur",1.55,1.18,1.24
"West Bengal","Purulia",1.36,0.68,1.07
"West Bengal","South 24 Parganas",1.4,1,1.1
"West Bengal","Uttar Dinajpur",1.34,1.16,1.12
