"Date","smR"
2020-05-15,1.27135068074366
2020-05-16,1.26332795063894
2020-05-17,1.31512191515795
2020-05-18,1.32146496587233
2020-05-19,1.2978342136767
2020-05-20,1.28044581726585
2020-05-21,1.22853087462703
2020-05-22,1.1655804155267
2020-05-23,1.1500429879987
2020-05-24,1.13819480028535
2020-05-25,1.12850429206347
2020-05-26,1.16285104713832
2020-05-27,1.17733056020362
2020-05-28,1.20337324816669
2020-05-29,1.22759359536288
2020-05-30,1.24177613157058
2020-05-31,1.23493635417524
2020-06-01,1.23278901210419
2020-06-02,1.205771094718
2020-06-03,1.17915146017867
2020-06-04,1.15110042987669
2020-06-05,1.14898765246299
2020-06-06,1.14575711895518
2020-06-07,1.14852690050636
2020-06-08,1.15319367648412
2020-06-09,1.15421155315737
2020-06-10,1.14707725368443
2020-06-11,1.13953753600129
2020-06-12,1.12700671009725
2020-06-13,1.11578098439412
2020-06-14,1.12647158509267
2020-06-15,1.14863678952522
2020-06-16,1.17179570755078
2020-06-17,1.20056409907832
2020-06-18,1.23568324748768
2020-06-19,1.25044459376608
2020-06-20,1.25936942642453
2020-06-21,1.25972157051446
2020-06-22,1.24248206426483
2020-06-23,1.21500814711778
2020-06-24,1.20641631618739
2020-06-25,1.18976831835802
2020-06-26,1.17472361982463
2020-06-27,1.16656020642826
2020-06-28,1.16225577065483
2020-06-29,1.15708004036187
2020-06-30,1.16153886586118
2020-07-01,1.16287419742085
2020-07-02,1.16401737074031
2020-07-03,1.16958132936481
2020-07-04,1.16474904827008
2020-07-05,1.15935379413626
2020-07-06,1.15312823064462
2020-07-07,1.14890706134501
2020-07-08,1.14767587017693
2020-07-09,1.16094667169682
2020-07-10,1.17561054215172
2020-07-11,1.20361075637078
2020-07-12,1.21162202453623
2020-07-13,1.21567843768975
2020-07-14,1.22431496427429
2020-07-15,1.22124342529523
2020-07-16,1.21552398715336
2020-07-17,1.22854025142316
2020-07-18,1.23277656232535
2020-07-19,1.23349054254036
2020-07-20,1.24032307480079
2020-07-21,1.2270678696642
2020-07-22,1.21469984244983
2020-07-23,1.20410007489806
2020-07-24,1.17440969483966
2020-07-25,1.14821792061591
2020-07-26,1.14276733274254
2020-07-27,1.11790121044212
2020-07-28,1.09125204363017
2020-07-29,1.0828674840385
2020-07-30,1.06976120422003
2020-07-31,1.05737941351097
2020-08-01,1.06150653666149
2020-08-02,1.0604969661802
2020-08-03,1.07554280826879
2020-08-04,1.09660399840908
2020-08-05,1.09309721300779
2020-08-06,1.10072988489143
2020-08-07,1.11540895394467
2020-08-08,1.09512778456048
2020-08-09,1.07938544440331
2020-08-10,1.06691257890314
2020-08-11,1.02977086193456
2020-08-12,1.01190493457888
2020-08-13,1.01565533424928
2020-08-14,1.0106808489027
2020-08-15,1.02296283317057
2020-08-16,1.04162392319458
2020-08-17,1.05360693899553
2020-08-18,1.05390548086783
2020-08-19,1.06131061497632
2020-08-20,1.05611219175957
2020-08-21,1.06266203643353
2020-08-22,1.06644192818653
2020-08-23,1.07392461523054
2020-08-24,1.07781237159841
2020-08-25,1.11152777866726
2020-08-26,1.11764331149438
2020-08-27,1.12349883160201
2020-08-28,1.12062777069819
2020-08-29,1.11700220562967
2020-08-30,1.09679440535398
2020-08-31,1.09692752473281
2020-09-01,1.09485902697014
2020-09-02,1.09490374618916
2020-09-03,1.10203169452675
2020-09-04,1.10431768423259
2020-09-05,1.10366620878626
2020-09-06,1.09910811504718
2020-09-07,1.09043102227653
2020-09-08,1.07119941009229
2020-09-09,1.06422598531845
2020-09-10,1.04623776796503
2020-09-11,1.03275243562165
2020-09-12,1.02647136007193
2020-09-13,1.01671668379087
2020-09-14,0.998657920117063
2020-09-15,0.987350850087421
2020-09-16,0.973644823236097
2020-09-17,0.962174858140415
2020-09-18,0.952118799077462
2020-09-19,0.938444275287845
2020-09-20,0.936133515251468
2020-09-21,0.944763595400609
2020-09-22,0.949583096787531
2020-09-23,0.955647868590091
2020-09-24,0.966458541872334
2020-09-25,0.977727878783519
2020-09-26,0.976813019123832
2020-09-27,0.974404945706569
2020-09-28,0.959037531412549
2020-09-29,0.949839047523867
2020-09-30,0.934186916239549
2020-10-01,0.925859975327541
2020-10-02,0.922250918524576
2020-10-03,0.92447417191066
2020-10-04,0.926980574347358
2020-10-05,0.948623917122002
2020-10-06,0.950698918950409
2020-10-07,0.950096484890795
2020-10-08,0.952914638741869
2020-10-09,0.944183646798417
2020-10-10,0.932119554559372
2020-10-11,0.923169847189701
2020-10-12,0.909409224228194
2020-10-13,0.901407732758795
2020-10-14,0.898839529809941
2020-10-15,0.892755916260284
2020-10-16,0.889613810162015
2020-10-17,0.893308907903152
2020-10-18,0.898211605504409
2020-10-19,0.89339157183996
2020-10-20,0.887411788718025
2020-10-21,0.883125490678511
2020-10-22,0.874023395966102
2020-10-23,0.878073690886032
2020-10-24,0.890798371229817
2020-10-25,0.904326838411986
2020-10-26,0.932977995134269
2020-10-27,0.964594472774825
2020-10-28,0.980140944021816
2020-10-29,1.0018457111579
2020-10-30,1.0185932795726
2020-10-31,1.02444022656183
2020-11-01,1.03128257461453
2020-11-02,1.01870087458129
2020-11-03,1.01129802547329
2020-11-04,1.009316688508
2020-11-05,1.00844178664548
2020-11-06,0.995783942503331
2020-11-07,0.990447461558888
2020-11-08,0.970437333440799
2020-11-09,0.956384757465873
2020-11-10,0.909610879311441
2020-11-11,0.889255715945621
2020-11-12,0.878816944793214
2020-11-13,0.887132135649388
2020-11-14,0.907064436731914
2020-11-15,0.98503453640335
2020-11-16,1.05108282394395
