"Region","Date","Rt"
"Andhra Pradesh",2020-08-24,1.06541862414541
"Andhra Pradesh",2020-08-25,1.07833125437152
"Andhra Pradesh",2020-08-26,1.09370719118556
"Andhra Pradesh",2020-08-27,1.0943249163154
"Andhra Pradesh",2020-08-28,1.0871258407224
"Andhra Pradesh",2020-08-29,1.07932481224594
"Andhra Pradesh",2020-08-30,1.06671226425597
"Andhra Pradesh",2020-08-31,1.0364543466755
"Andhra Pradesh",2020-09-01,1.05197411852859
"Andhra Pradesh",2020-09-02,1.0464728907274
"Andhra Pradesh",2020-09-03,1.04511961765503
"Andhra Pradesh",2020-09-04,1.03321030504431
"Andhra Pradesh",2020-09-05,1.02621189112558
"Andhra Pradesh",2020-09-06,0.997768018571665
"Andhra Pradesh",2020-09-07,0.994220379856458
"Andhra Pradesh",2020-09-08,0.982224960445723
"Andhra Pradesh",2020-09-09,0.97076278275896
"Andhra Pradesh",2020-09-10,0.963135911353659
"Andhra Pradesh",2020-09-11,0.955737517786938
"Andhra Pradesh",2020-09-12,0.949376413378362
"Andhra Pradesh",2020-09-13,0.937490172265315
"Andhra Pradesh",2020-09-14,0.933770139344872
"Andhra Pradesh",2020-09-15,0.921985689223229
"Andhra Pradesh",2020-09-16,0.914815674108848
"Andhra Pradesh",2020-09-17,0.902653448641151
"Andhra Pradesh",2020-09-18,0.897345886339467
"Andhra Pradesh",2020-09-19,0.898464157991937
"Andhra Pradesh",2020-09-20,0.897542013062804
"Andhra Pradesh",2020-09-21,0.896651401815402
"Andhra Pradesh",2020-09-22,0.89782716196763
"Andhra Pradesh",2020-09-23,0.897422915062516
"Andhra Pradesh",2020-09-24,0.891733037555428
"Andhra Pradesh",2020-09-25,0.89054245979998
"Andhra Pradesh",2020-09-26,0.893955795309449
"Andhra Pradesh",2020-09-27,0.900932415357725
"Andhra Pradesh",2020-09-28,0.908126714319789
"Andhra Pradesh",2020-09-29,0.917575133693425
"Andhra Pradesh",2020-09-30,0.916732912985362
"Andhra Pradesh",2020-10-01,0.916040453542844
"Andhra Pradesh",2020-10-02,0.908101546526438
"Andhra Pradesh",2020-10-03,0.900525860211273
"Andhra Pradesh",2020-10-04,0.894361040656839
"Andhra Pradesh",2020-10-05,0.905268435616088
"Andhra Pradesh",2020-10-06,0.903987514936999
"Andhra Pradesh",2020-10-07,0.894878659536306
"Andhra Pradesh",2020-10-08,0.9007866612238
"Andhra Pradesh",2020-10-09,0.892861675482142
"Andhra Pradesh",2020-10-10,0.877814632799351
"Andhra Pradesh",2020-10-11,0.864712600199941
"Andhra Pradesh",2020-10-12,0.864681379055176
"Andhra Pradesh",2020-10-13,0.854537730811748
"Andhra Pradesh",2020-10-14,0.858374759791144
"Andhra Pradesh",2020-10-15,0.859114628324505
"Andhra Pradesh",2020-10-16,0.870753556510803
"Andhra Pradesh",2020-10-17,0.880323632584625
"Andhra Pradesh",2020-10-18,0.88872629442683
"Andhra Pradesh",2020-10-19,0.875935804914957
"Andhra Pradesh",2020-10-20,0.872686350741219
"Andhra Pradesh",2020-10-21,0.864092205941679
"Andhra Pradesh",2020-10-22,0.858984570153117
"Andhra Pradesh",2020-10-23,0.861045445397771
"Andhra Pradesh",2020-10-24,0.872007826006335
"Andhra Pradesh",2020-10-25,0.886465688770183
"Andhra Pradesh",2020-10-26,0.909243336522926
"Andhra Pradesh",2020-10-27,0.912031172105037
"Andhra Pradesh",2020-10-28,0.905184633699803
"Andhra Pradesh",2020-10-29,0.913069399002788
"Andhra Pradesh",2020-10-30,0.907007730796936
"Andhra Pradesh",2020-10-31,0.907131958562884
"Andhra Pradesh",2020-11-01,0.905403819631521
"Andhra Pradesh",2020-11-02,0.911679742587471
"Andhra Pradesh",2020-11-03,0.906849354648348
"Andhra Pradesh",2020-11-04,0.910507944558727
"Andhra Pradesh",2020-11-05,0.902459965195417
"Andhra Pradesh",2020-11-06,0.897679472716864
"Andhra Pradesh",2020-11-07,0.88772380375861
"Andhra Pradesh",2020-11-08,0.86984499392246
"Andhra Pradesh",2020-11-09,0.850342788390985
"Andhra Pradesh",2020-11-10,0.825846251409587
"Andhra Pradesh",2020-11-11,0.810486634926005
"Andhra Pradesh",2020-11-12,0.798183819850088
"Andhra Pradesh",2020-11-13,0.792160172162255
"Andhra Pradesh",2020-11-14,0.77883803310458
"Andhra Pradesh",2020-11-15,0.795243563853112
"Andhra Pradesh",2020-11-16,0.816666631385119
"Andhra Pradesh",2020-11-17,0.817958614207933
"Andhra Pradesh",2020-11-18,0.80954907338865
"Andhra Pradesh",2020-11-19,0.819205203524985
"Andhra Pradesh",2020-11-20,0.816685298536249
"Andhra Pradesh",2020-11-21,0.827818818101885
"Andhra Pradesh",2020-11-22,0.823681952841456
"Andhra Pradesh",2020-11-23,0.820224229448409
"Andhra Pradesh",2020-11-24,0.821169032887722
"Andhra Pradesh",2020-11-25,0.822645160929777
"Andhra Pradesh",2020-11-26,0.812766865934264
"Andhra Pradesh",2020-11-27,0.821821330659494
"Andhra Pradesh",2020-11-28,0.840431599192139
"Andhra Pradesh",2020-11-29,0.827624508401885
"Andhra Pradesh",2020-11-30,0.835409770585592
"Andhra Pradesh",2020-12-01,0.847502988677141
"Andhra Pradesh",2020-12-02,0.850059578727619
"Andhra Pradesh",2020-12-03,0.85068664045351
"Andhra Pradesh",2020-12-04,0.875401712978488
"Andhra Pradesh",2020-12-05,0.873119702997841
"Andhra Pradesh",2020-12-06,0.882430439940341
"Andhra Pradesh",2020-12-07,0.915232118312128
"Andhra Pradesh",2020-12-08,0.939843077155634
"Andhra Pradesh",2020-12-09,0.942690930738515
"Andhra Pradesh",2020-12-10,0.961195844814226
"Andhra Pradesh",2020-12-11,0.962497179358172
"Andhra Pradesh",2020-12-12,0.961496399788965
"Andhra Pradesh",2020-12-13,0.957122266260733
"Andhra Pradesh",2020-12-14,0.951179206884528
"Andhra Pradesh",2020-12-15,0.944181383735839
"Andhra Pradesh",2020-12-16,0.942072640209252
"Andhra Pradesh",2020-12-17,0.936530164920197
"Andhra Pradesh",2020-12-18,0.922001995253421
"Andhra Pradesh",2020-12-19,0.91434654788478
"Andhra Pradesh",2020-12-20,0.916190075645994
"Andhra Pradesh",2020-12-21,0.895570390897377
"Andhra Pradesh",2020-12-22,0.892093525831378
"Andhra Pradesh",2020-12-23,0.896658065326825
"Andhra Pradesh",2020-12-24,0.895633683981961
"Andhra Pradesh",2020-12-25,0.900286661557457
"Andhra Pradesh",2020-12-26,0.910774833624593
"Andhra Pradesh",2020-12-27,0.912605289574894
"Andhra Pradesh",2020-12-28,0.881099424279968
"Andhra Pradesh",2020-12-29,0.869353727614447
"Andhra Pradesh",2020-12-30,0.863973872498041
"Andhra Pradesh",2020-12-31,0.889528597243769
"Andhra Pradesh",2021-01-01,0.894181898499137
"Andhra Pradesh",2021-01-02,0.929140963480629
"Andhra Pradesh",2021-01-03,0.969225857159114
"Andhra Pradesh",2021-01-04,0.985825242728458
"Andhra Pradesh",2021-01-05,0.966919053219002
"Andhra Pradesh",2021-01-06,0.956708716834858
"Andhra Pradesh",2021-01-07,0.939156202610327
"Andhra Pradesh",2021-01-08,0.914470146374377
"Andhra Pradesh",2021-01-09,0.8927365130635
"Andhra Pradesh",2021-01-10,0.855767948492781
"Andhra Pradesh",2021-01-11,0.843033183238429
"Andhra Pradesh",2021-01-12,0.850570070389074
"Andhra Pradesh",2021-01-13,0.852740992474056
"Andhra Pradesh",2021-01-14,0.845286492004238
"Andhra Pradesh",2021-01-15,0.911309946886965
"Andhra Pradesh",2021-01-16,0.910001237904817
"Andhra Pradesh",2021-01-17,0.873552841729635
"Andhra Pradesh",2021-01-18,0.901206348287809
"Andhra Pradesh",2021-01-19,0.921007381179344
"Andhra Pradesh",2021-01-20,0.914862457601872
"Andhra Pradesh",2021-01-21,0.954964821059503
"Andhra Pradesh",2021-01-22,0.967065806242524
"Andhra Pradesh",2021-01-23,0.956670720641489
"Andhra Pradesh",2021-01-24,0.984341356065048
"Andhra Pradesh",2021-01-25,1.07766115599152
"Andhra Pradesh",2021-01-26,1.0678351296698
"Andhra Pradesh",2021-01-27,1.08001526436237
"Andhra Pradesh",2021-01-28,1.07144156712582
"Andhra Pradesh",2021-01-29,0.99603999344733
"Andhra Pradesh",2021-01-30,0.953016323872326
"Andhra Pradesh",2021-01-31,0.951063779299264
"Andhra Pradesh",2021-02-01,0.896714814267826
"Andhra Pradesh",2021-02-02,0.884048041064439
"Andhra Pradesh",2021-02-03,0.906941900427888
"Andhra Pradesh",2021-02-04,0.881994456110828
"Andhra Pradesh",2021-02-05,0.861613445734826
"Andhra Pradesh",2021-02-06,0.890989793948515
"Andhra Pradesh",2021-02-07,0.89973519803026
"Andhra Pradesh",2021-02-08,0.801902185430602
"Andhra Pradesh",2021-02-09,0.809479545834661
"Andhra Pradesh",2021-02-10,0.811033260539361
"Andhra Pradesh",2021-02-11,0.79715913393125
"Andhra Pradesh",2021-02-12,0.796758214590236
"Andhra Pradesh",2021-02-13,0.841340310468429
"Andhra Pradesh",2021-02-14,0.884324189586047
"Andhra Pradesh",2021-02-15,0.928865056474527
"Andhra Pradesh",2021-02-16,0.9833630859171
"Andhra Pradesh",2021-02-17,0.994114634502859
"Andhra Pradesh",2021-02-18,1.00622667740618
"Andhra Pradesh",2021-02-19,1.05420420580367
"Andhra Pradesh",2021-02-20,1.07935894312769
"Andhra Pradesh",2021-02-21,1.09260572210813
"Andhra Pradesh",2021-02-22,1.23251956850091
"Andhra Pradesh",2021-02-23,1.29556605328464
"Andhra Pradesh",2021-02-24,1.29758443480753
"Andhra Pradesh",2021-02-25,1.34031129578277
"Andhra Pradesh",2021-02-26,1.38667683390117
"Andhra Pradesh",2021-02-27,1.36018862049943
"Andhra Pradesh",2021-02-28,1.33372119209532
"Andhra Pradesh",2021-03-01,1.34605748400563
"Andhra Pradesh",2021-03-02,1.33275752806164
"Andhra Pradesh",2021-03-03,1.31499728952261
